timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741116222334,581,Delete group,200,OK,Load Test 1-91,text,true,,290,607,100,100,http://localhost:6400/api/group,581,0,0
1741116222305,613,Delete group,200,OK,Load Test 1-22,text,true,,290,607,100,100,http://localhost:6400/api/group,613,0,0
1741116222351,574,Delete group,200,OK,Load Test 1-25,text,true,,290,607,100,100,http://localhost:6400/api/group,574,0,0
1741116218027,4909,Signup,200,OK,Load Test 1-49,text,true,,669,250,100,100,http://localhost:6400/api/users,4909,0,0
1741116218202,4741,Signup,200,OK,Load Test 1-51,text,true,,669,250,100,100,http://localhost:6400/api/users,4741,0,0
1741116218200,4812,Signup,200,OK,Load Test 1-10,text,true,,669,250,100,100,http://localhost:6400/api/users,4812,0,0
1741116218904,4122,Signup,200,OK,Load Test 1-7,text,true,,669,250,100,100,http://localhost:6400/api/users,4122,0,0
1741116222183,850,Update group,200,OK,Load Test 1-96,text,true,,290,715,100,100,http://localhost:6400/api/group,850,0,0
1741116222850,185,Get group,200,OK,Load Test 1-92,text,true,,354,602,100,100,http://localhost:6400/api/group,185,0,0
1741116222856,188,Get group,200,OK,Load Test 1-6,text,true,,354,602,100,100,http://localhost:6400/api/group,188,0,0
1741116222865,184,Get group,200,OK,Load Test 1-20,text,true,,354,602,100,100,http://localhost:6400/api/group,184,0,0
1741116222858,196,Get group,200,OK,Load Test 1-4,text,true,,354,602,100,100,http://localhost:6400/api/group,196,0,0
1741116222861,201,Get group,200,OK,Load Test 1-40,text,true,,354,602,100,100,http://localhost:6400/api/group,201,0,0
1741116222871,194,Get group,200,OK,Load Test 1-19,text,true,,354,602,100,100,http://localhost:6400/api/group,194,0,0
1741116222877,188,Get group,200,OK,Load Test 1-27,text,true,,354,602,100,100,http://localhost:6400/api/group,188,0,0
1741116222395,680,Update group,200,OK,Load Test 1-3,text,true,,290,715,100,100,http://localhost:6400/api/group,680,0,0
1741116220244,2875,Delete Account,200,OK,Load Test 1-15,text,true,,289,571,100,100,http://localhost:6400/api/users,2875,0,0
1741116220260,2863,Delete Account,200,OK,Load Test 1-13,text,true,,289,571,100,100,http://localhost:6400/api/users,2863,0,0
1741116220235,2961,Delete Account,200,OK,Load Test 1-78,text,true,,289,571,100,100,http://localhost:6400/api/users,2961,0,0
1741116220247,2951,Delete Account,200,OK,Load Test 1-79,text,true,,289,571,100,100,http://localhost:6400/api/users,2951,0,0
1741116222832,418,Update group,200,OK,Load Test 1-84,text,true,,290,715,100,100,http://localhost:6400/api/group,418,0,0
1741116223033,222,Delete group,200,OK,Load Test 1-96,text,true,,290,607,100,100,http://localhost:6400/api/group,222,0,0
